id,name,description,price,volume,image,stock_amount,sale,fragrance_family_id,category_id,brand_id
1,The One for Men,"The One for Men by Dolce&Gabbana is a Woody Spicy fragrance for men. The One for Men was launched in 2008. The nose behind this fragrance is Olivier Polge. Top notes are Grapefruit, Coriander and Basil; middle notes are Ginger, Cardamom and Orange Blossom; base notes are Amber, Tobacco and Cedar.",119,100,theoneformen,4,1,1,2,1
2,Wood Sage & Sea Salt,Wood Sage & Sea Salt by Jo Malone London is a Aromatic fragrance for women and men. Wood Sage & Sea Salt was launched in 2014. The nose behind this fragrance is Christine Nagel.,186,100,woodsageandseasalt,5,1,2,3,2
3,The One,"The One by Dolce&Gabbana is a Oriental Floral fragrance for women. The One was launched in 2006. The nose behind this fragrance is Christine Nagel. Top notes are Peach, Litchi, Mandarin Orange and Bergamot; middle notes are Lily, Plum, Jasmine and Lily-of-the-Valley; base notes are Vanilla, Amber, Musk and Vetiver.",150,75,theone,0,1,3,1,1
4,Spicebomb,"Spicebomb by Viktor&Rolf is a Woody Spicy fragrance for men. Spicebomb was launched in 2012. The nose behind this fragrance is Olivier Polge. Top notes are Pink Pepper, elemi, Bergamot and Grapefruit; middle notes are Cinnamon, Saffron and Paprika; base notes are Tobacco, Leather and Vetiver.",140,90,spicebomb,7,1,1,2,3
5,Alien,Alien by Mugler is a Oriental Woody fragrance for women. Alien was launched in 2005. Alien was created by Dominique Ropion and Laurent Bruyere. Top note is Jasmine; middle note is Woodsy Notes; base note is Amber.,189,90,alien,6,1,4,1,4
6,Black Orchid,"Black Orchid by Tom Ford is a Oriental Floral fragrance for women. Black Orchid was launched in 2006. The nose behind this fragrance is Givaudan. Top notes are Truffle, Gardenia, Black Currant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange and Amalfi Lemon; middle notes are Orchid, Spices, Gardenia, Fruity Notes, Ylang-Ylang, Jasmine and Lotus; base notes are Mexican chocolate, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver and White Musk.",169,50,blackorchid,4,1,3,1,5
7,Ombr? Leather,"Ombr? Leather (2018) by Tom Ford is a Leather fragrance for women and men. Ombr? Leather (2018) was launched in 2018. The nose behind this fragrance is Sonia Constant. Top note is Cardamom; middle notes are Leather and Jasmine Sambac; base notes are Amber, Moss and Patchouli.",169,50,ombreleather,3,1,5,3,5
8,Metallique,"Metallique by Tom Ford is a Floral Aldehyde fragrance for women. This is a new fragrance. Metallique was launched in 2019. Top notes are Aldehydes, Pink Pepper and Bergamot; middle notes are Heliotrope, Hawthorn and Lily-of-the-Valley; base notes are Vanilla, Ambrette (Musk Mallow), Peru Balsam and Sandalwood.",195,50,metallique,4,1,6,1,5
9,By the Fireplace,"By the Fireplace by Maison Martin Margiela is a Woody fragrance for women and men. By the Fireplace was launched in 2015. The nose behind this fragrance is Marie Salamagne. Top notes are Cloves, Pink Pepper and Orange Blossom; middle notes are Chestnut, Guaiac Wood and Juniper; base notes are Vanilla, Peru Balsam and Cashmeran.",159,100,bythefireplace,5,0.8,7,3,6
10,At The Barber's,"At The Barber's by Maison Martin Margiela is a Aromatic fragrance for men. At The Barber's was launched in 2014. The nose behind this fragrance is Louise Turner. Top notes are Basil, Bitter Orange and Black Pepper; middle notes are Lavender, Rosemary and Geranium; base notes are White Musk, Moss, Leather and Tonka Bean.",159,100,atthebarbers,3,0.8,2,2,6
11,Nomade,"Nomade by Chlo? is a Chypre Floral fragrance for women. Nomade was launched in 2018. The nose behind this fragrance is Quentin Bisch. Top notes are Mirabelle, Bergamot, Lemon and Orange; middle notes are Freesia, Peach, Rose and Jasmine; base notes are Oakmoss, Amberwood, Patchouli, White Musk and Sandalwood.",155,75,nomade,7,1,8,1,7
12,Cocoa Woods,Cocoa Woods by Nest is a Woody Spicy fragrance for women and men. Cocoa Woods was launched in 2018.,98,50,cocoawoods,5,1,1,3,8
13,Sunkissed Hibiscus,"Sunkissed Hibiscus by Nest is a Oriental Floral fragrance for women. This is a new fragrance. Sunkissed Hibiscus was launched in 2020. Top notes are Coconut and Frangipani; middle notes are Tuberose, Gardenia and Orange Blossom; base note is Amber.",98,50,sunkissedhibiscus,1,1,3,1,8
